Comandos PUSH C2-260:

#Adicionar ao software:

"Comandos do Dispositivo",
"ID","Número de Série","Conteúdo","Imediato","Horário de Envio","Tempo de Retorno","Valor Retornado","Observação",
"591","20161116999","DATA DELETE extboardproperty *
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:51","0","",
"590","20161116999","DATA UPDATE DevParameters ID=4	Name=IsSupportReaderEncrypt	Value=0
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:51","0","",
"589","20161116999","DATA UPDATE ReaderProperty ID=1	DoorID=1	Type=1	Address=1	IPAddress=	Port=4376	MAC=	InOut=0	Disable=0	VerifyType=0	Multicast=	DevID=4
ID=2	DoorID=1	Type=1	Address=2	IPAddress=	Port=4376	MAC=	InOut=1	Disable=0	VerifyType=0	Multicast=	DevID=4
ID=3	DoorID=2	Type=1	Address=3	IPAddress=	Port=4376	MAC=	InOut=0	Disable=0	VerifyType=0	Multicast=	DevID=4
ID=4	DoorID=2	Type=1	Address=4	IPAddress=	Port=4376	MAC=	InOut=1	Disable=0	VerifyType=0	Multicast=	DevID=4
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:51","0","",
"588","20161116999","DATA DELETE ReaderParameters *
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:51","0","",
"587","20161116999","DATA DELETE ReaderProperty *
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:51","0","",
"586","20161116999","DATA DELETE outrelaysetting *
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:51","0","",
"585","20161116999","DATA UPDATE AuxOut ID=1	DevID=4	Address=1	Disable=0
ID=2	DevID=4	Address=2	Disable=0
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:51","0","",
"584","20161116999","DATA DELETE AuxOut *
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:51","0","",
"583","20161116999","DATA UPDATE InputIOSetting Number=1	InType=1	TimeZoneId=1	DevID=4
Number=2	InType=1	TimeZoneId=1	DevID=4
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:51","0","",
"582","20161116999","DATA UPDATE AuxIn ID=1	DevID=4	Address=1	Disable=0
ID=2	DevID=4	Address=2	Disable=0
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:51","0","",
"581","20161116999","DATA DELETE AuxIn *
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:51","0","",
"580","20161116999","DATA UPDATE DoorParameters ID=1	Name=DoorAutoMatch	Value=1	DevID=4
ID=1	Name=DoorDrivertime	Value=5	DevID=4
ID=1	Name=DoorKeepOpenTimeZone	Value=0	DevID=4
ID=1	Name=DoorValidTZ	Value=1	DevID=4
ID=1	Name=DoorSupperPassWord	Value=	DevID=4
ID=1	Name=DoorIntertime	Value=2	DevID=4
ID=1	Name=DoorVerifyType	Value=0	DevID=4
ID=1	Name=DoorSensorType	Value=0	DevID=4
ID=1	Name=DoorDetectortime	Value=15	DevID=4
ID=1	Name=DoorCloseAndLock	Value=0	DevID=4
ID=1	Name=DoorForcePassWord	Value=	DevID=4
ID=1	Name=DoorInTimeAPB	Value=0	DevID=4
ID=1	Name=DoorREXInput	Value=1	DevID=4
ID=1	Name=DoorREXTimeOut	Value=	DevID=4
ID=1	Name=DoorDelayOpenTime	Value=0	DevID=4
ID=1	Name=ExtDoorDelayDrivertime	Value=5	DevID=4
ID=1	Name=DoorMultiCardInterTime	Value=10	DevID=4
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:51","0","",
"579","20161116999","DATA UPDATE InputIOSetting Number=1	InType=0	TimeZoneId=1	DevID=4
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:51","0","",
